[2020-04-05 20:25:05.777481] Update: 1030 / 1953, Frames: 1055744, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.029,VL: 0.017, Ent: 2.280
[2020-04-05 20:27:28.416476] Update: 1040 / 1953, Frames: 1065984, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.028,VL: 0.008, Ent: 2.161
[2020-04-05 20:29:52.808133] Update: 1050 / 1953, Frames: 1076224, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.024,VL: 0.020, Ent: 2.408
[2020-04-05 20:32:20.509159] Update: 1060 / 1953, Frames: 1086464, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.014,VL: 0.022, Ent: 2.136
[2020-04-05 20:34:44.228996] Update: 1070 / 1953, Frames: 1096704, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.034,VL: 0.011, Ent: 1.824
[2020-04-05 20:37:10.750907] Update: 1080 / 1953, Frames: 1106944, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.018,VL: 0.006, Ent: 2.065
[2020-04-05 20:39:38.918768] Update: 1090 / 1953, Frames: 1117184, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.043,VL: 0.007, Ent: 1.988
[2020-04-05 20:42:08.000331] Update: 1100 / 1953, Frames: 1127424, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.037,VL: 0.019, Ent: 1.887
[2020-04-05 20:44:37.131848] Update: 1110 / 1953, Frames: 1137664, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.050,VL: 0.003, Ent: 1.881
[2020-04-05 20:47:03.579148] Update: 1120 / 1953, Frames: 1147904, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.030,VL: 0.008, Ent: 2.153
[2020-04-05 20:49:29.367855] Update: 1130 / 1953, Frames: 1158144, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.048,VL: 0.015, Ent: 1.999
[2020-04-05 20:52:06.357932] Update: 1140 / 1953, Frames: 1168384, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.019,VL: 0.012, Ent: 2.000
